"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.947255667E0,-2.752775574E-1,9.921518097E0,-8.434959412E-1
9.047756667E0,2.993774414E-2,9.711055756E0,-7.315287781E-1
9.148255667E0,-6.508465576E-1,9.523046722E0,-9.846524048E-1
9.248756667E0,-2.719844055E-1,9.528734894E0,-1.640438690E0
9.349255667E0,-3.367996216E-2,9.569599915E0,-1.482966156E0
9.449756667E0,-4.981640625E-1,9.670789490E0,-1.669777679E0
9.550255667E0,-4.990621948E-1,1.015802628E1,-1.553020477E0
9.650759792E0,-3.420387268E-1,9.652527466E0,-1.983375549E0
9.751258792E0,-4.652325439E-1,9.506131897E0,-2.451751556E0
9.851759792E0,-1.694476318E-1,9.344019012E0,-2.636916504E0
9.952258792E0,-1.016087036E0,9.332792358E0,-2.832559662E0
1.005275979E1,-3.031196594E-1,9.374106445E0,-3.063229980E0
1.015325879E1,2.604583740E-1,8.877738647E0,-3.477119293E0
1.025375879E1,-1.752854919E-1,8.755293274E0,-4.107757874E0
1.035425879E1,-3.811074829E-1,9.214089203E0,-3.677851868E0
1.045475879E1,-2.079176331E-1,9.076525269E0,-3.578757935E0
1.055525779E1,-3.317102051E-1,8.853189697E0,-4.101171570E0
1.065575567E1,-3.008743286E-2,8.577912140E0,-4.743485870E0
1.075625467E1,-6.083349609E-1,8.398884430E0,-4.351451111E0
1.085675567E1,-5.854325867E-1,8.790470123E0,-4.419858856E0
1.095725467E1,-2.791694641E-1,8.550668793E0,-4.528832245E0
1.105775567E1,-5.869294739E-1,8.639134827E0,-4.649181976E0
1.115825467E1,-2.245330811E-1,8.848998413E0,-4.805606689E0
1.125875567E1,-1.079255676E-1,8.374036102E0,-5.492528229E0
1.135925467E1,-9.295669556E-1,8.167166290E0,-5.813909912E0
1.145975467E1,-8.557704163E-1,8.167914734E0,-5.399122467E0
1.156025367E1,-5.180726624E-1,7.661817169E0,-5.977968750E0
1.166075496E1,-1.824705505E-1,7.229067078E0,-6.564748535E0
1.176125396E1,-3.097059631E-1,7.703730011E0,-6.677613831E0
1.186175496E1,-5.813909912E-1,6.774013367E0,-6.845414886E0
1.196225396E1,-6.331832886E-1,6.518494720E0,-7.138655090E0
1.206275396E1,-6.497987366E-1,6.066734161E0,-7.482340393E0
1.216325396E1,-6.346801758E-1,5.877078552E0,-7.866741028E0
1.226375396E1,-8.204438782E-1,5.686524811E0,-8.144114227E0
1.236425296E1,-9.150471497E-1,5.542524261E0,-8.506360931E0
1.246475396E1,-1.323098602E0,5.008883972E0,-8.655001831E0
1.256525296E1,-1.176403656E0,4.536915436E0,-8.261320496E0
1.266575333E1,-9.430389404E-1,3.682043152E0,-8.748856659E0
1.276625233E1,-1.385818176E0,3.976780243E0,-8.831484833E0
1.286675233E1,-8.156538391E-1,3.556903381E0,-9.327852631E0
1.296725133E1,-1.063688049E0,3.584595795E0,-9.368418274E0
1.306775233E1,-8.852590942E-1,2.969075775E0,-9.383836212E0
1.316825133E1,-8.023315430E-1,2.523452454E0,-9.293274536E0
1.326875233E1,-1.214873657E0,2.820734253E0,-9.424850922E0
1.336925133E1,-1.164129181E0,2.603386230E0,-9.439071350E0
1.346975133E1,-7.858657837E-1,2.462678833E0,-9.804162140E0
1.357025033E1,-9.544152832E-1,1.996248779E0,-9.502838745E0
1.367075229E1,-7.485932922E-1,1.564396820E0,-9.705666962E0
1.377125129E1,-3.604504395E-1,1.391955414E0,-9.853858795E0
1.387175129E1,-1.513053589E0,1.550775146E0,-9.565558319E0
1.397225029E1,-6.062393188E-1,1.013692017E0,-9.752519531E0
1.407275129E1,-9.169931030E-1,4.105961609E-1,-9.530531158E0
1.417325029E1,-1.268462219E0,6.735992432E-1,-9.879305878E0
1.427375029E1,-1.294657745E0,-3.499722290E-1,-8.953630829E0
1.437424929E1,-9.815089417E-1,3.236270142E-1,-9.985584869E0
1.447475029E1,-6.741979980E-1,-2.634521484E-2,-9.930050354E0
1.457524929E1,-5.517526245E-1,-4.816983032E-1,-9.903106384E0
1.467574967E1,-1.187630310E0,-5.038522339E-1,-1.026041336E1
1.477624867E1,-1.556163940E0,-9.084608459E-1,-9.813442841E0
1.487674867E1,-1.996997223E0,-1.423988800E0,-8.516539764E0
1.497724767E1,-1.523531799E0,-1.372944946E0,-9.545949097E0
1.507774867E1,-2.111958160E0,-1.616638184E0,-9.453591156E0
1.517824767E1,-1.615889740E0,-1.627715149E0,-9.651928711E0
1.527874767E1,-1.873354340E0,-1.288969574E0,-1.018182678E1
1.537924667E1,-2.360441437E0,-2.196382599E0,-9.067843323E0
1.547974667E1,-1.779649200E0,-2.002984772E0,-8.598868561E0
1.558024567E1,-1.442699890E0,-1.369502106E0,-9.111702118E0
1.568074704E1,-2.152074738E0,-1.197210388E0,-9.338929596E0
1.578124604E1,-2.598745880E0,-1.170715485E0,-9.079519043E0
1.588174604E1,-2.198178864E0,-1.035845947E0,-9.298813019E0
1.598224504E1,-2.443069611E0,-9.659413147E-1,-9.533973999E0
1.608274604E1,-2.166444855E0,-3.583547974E-1,-9.081165619E0
1.618324504E1,-1.804946594E0,2.155517578E-1,-9.131461029E0
1.628374504E1,-1.734293518E0,1.454375610E0,-9.430090027E0
1.638424404E1,-2.144440613E0,1.274749146E0,-9.884245605E0
1.648474404E1,-1.795366516E0,1.596729584E0,-9.508077850E0
1.658524304E1,-1.085392914E0,1.867815857E0,-9.489666138E0
1.668574392E1,-1.658401337E0,2.473606110E0,-9.439969482E0
1.678624192E1,-1.714684296E0,2.503394165E0,-9.044641571E0
1.688674292E1,-1.567839661E0,3.205434265E0,-8.775800629E0
1.698724192E1,-1.220711517E0,3.941004639E0,-8.934919739E0
1.708774192E1,-1.234183502E0,4.295168152E0,-8.822353821E0
1.718824092E1,-1.083297272E0,4.264182587E0,-8.866661682E0
1.728874092E1,-8.762777710E-1,4.451143799E0,-8.778794403E0
1.738923992E1,-1.261426849E0,4.759053497E0,-8.328979797E0
1.748974092E1,-1.005908203E0,5.040168915E0,-8.184829559E0
1.759023892E1,-7.906558228E-1,5.135969696E0,-8.113128662E0
1.769073954E1,-1.079105988E0,5.617218933E0,-8.108937378E0
1.779123854E1,-1.155147858E0,5.917344818E0,-7.640561371E0
1.789173854E1,-8.226892090E-1,6.345903625E0,-7.328011322E0
1.799223754E1,-7.858657837E-1,6.574178925E0,-7.237449646E0
1.809273754E1,-1.166673889E0,6.495592346E0,-7.064259796E0
1.819323654E1,-1.249152374E0,6.776558075E0,-6.956633606E0
1.829373654E1,-9.882449341E-1,7.313491516E0,-6.661597137E0
1.839423554E1,-5.554948425E-1,7.278464355E0,-6.537505188E0
1.849473554E1,-7.729925537E-1,7.567363586E0,-6.377787323E0
1.859523454E1,-2.850073242E-1,7.588918762E0,-6.164181519E0
1.869573408E1,-1.034498749E0,7.905510406E0,-6.081253967E0
1.879623308E1,-1.253044281E0,8.179740143E0,-5.811963959E0
1.889673408E1,-3.957769775E-1,8.429420929E0,-5.453160095E0
1.899723208E1,-3.282673645E-1,8.159981232E0,-5.195545807E0
1.909773308E1,-6.551875305E-1,8.657247162E0,-4.703518982E0
1.919823208E1,-7.039860535E-1,8.866511993E0,-4.055815887E0
1.929873208E1,-7.948471069E-1,9.459728394E0,-3.316054230E0
1.939923108E1,-5.749543762E-1,9.480235748E0,-3.302881622E0
1.949973108E1,-4.611909485E-1,9.415869598E0,-2.949765930E0
1.960023008E1,-4.746629333E-1,9.608518982E0,-2.622097321E0
1.970073108E1,-3.803590393E-1,9.685608673E0,-2.325713654E0
1.980123008E1,-6.725514221E-1,9.692494354E0,-2.036814423E0
1.990173108E1,-5.387297058E-1,9.638756104E0,-1.377435608E0
2.000223008E1,-7.843688965E-1,9.625583496E0,-1.276246033E0
2.010273108E1,-4.149371338E-1,9.541757812E0,-1.130149841E0
2.020323008E1,-9.822573853E-1,9.911938019E0,-7.604187012E-2
2.030373108E1,-7.622149658E-1,9.563163300E0,-8.912466431E-1
2.040423008E1,-3.851490784E-1,9.569150848E0,-1.082099762E0
2.050473108E1,-4.707710266E-1,9.603728943E0,-7.126679993E-1
2.060523008E1,-5.969586182E-1,9.710007935E0,-9.125024414E-1
2.070573217E1,-3.820056152E-1,9.656269684E0,-9.538165283E-1
2.080623217E1,-4.634362793E-1,9.756561127E0,-1.046623535E0
2.090673317E1,-4.767585754E-1,9.560169525E0,-9.087602234E-1
2.100723317E1,-3.758683777E-1,9.566456451E0,-8.379574585E-1
2.110773417E1,-5.219645691E-1,9.779014435E0,-1.028211823E0
2.120823417E1,-2.860551453E-1,9.774374084E0,-1.012344818E0
2.130873517E1,-3.710783386E-1,9.721683655E0,-1.327888641E0
2.140923517E1,-3.156935120E-1,9.849966888E0,-1.213077393E0
2.150973717E1,-1.763333130E-1,9.674082642E0,-8.954379272E-1
2.161023717E1,-1.902543640E-1,9.684411163E0,-6.291416931E-1
2.171073754E1,-4.330494690E-1,9.657467194E0,-1.234033813E0
2.181123754E1,-3.079096985E-1,9.759554901E0,-1.146465912E0
2.191173954E1,-8.132588196E-1,9.729617157E0,-8.036787415E-1
2.201223954E1,-1.067280579E-1,9.543105011E0,-1.626517639E0
2.211274154E1,-4.578977966E-1,9.719138947E0,-6.882687378E-1
2.221324154E1,-6.005511475E-1,9.625433807E0,-1.341360626E0
2.231374354E1,-4.638853455E-1,9.483229523E0,-2.174228668E0
2.241424454E1,-1.637594604E-1,1.013781830E1,-1.370250549E0
2.251474654E1,-4.345463562E-1,9.477541351E0,-2.276166687E0
2.261524654E1,-4.230203247E-1,9.342971191E0,-3.098406830E0
2.271574854E1,-3.062631226E-1,9.484427032E0,-3.342698822E0
2.281624954E1,-1.195863190E0,9.403295746E0,-3.439248047E0
2.291675154E1,-7.301815796E-1,8.932225342E0,-4.272864532E0
2.301725254E1,-7.568261719E-1,8.494385834E0,-5.106780396E0
2.311775454E1,-9.792636108E-1,8.071215820E0,-5.857469330E0
2.321825554E1,-1.042132874E0,7.368427277E0,-6.612050171E0
2.331875754E1,-1.119521942E0,6.818620605E0,-7.070546722E0
2.341925854E1,-1.042282562E0,6.230643311E0,-7.619754639E0
2.351976054E1,-1.175505524E0,5.491630096E0,-8.028704224E0
2.362026154E1,-1.113684082E0,4.965025177E0,-8.656349030E0
2.372076417E1,-1.354982300E0,4.459825745E0,-9.017398224E0
2.382126517E1,-1.235979767E0,3.686982880E0,-9.063202972E0
2.392176817E1,-1.312171326E0,2.895578613E0,-9.317224731E0
2.402226917E1,-1.169967041E0,2.549198914E0,-9.368118896E0
2.412277117E1,-1.116079102E0,2.227068787E0,-9.384285278E0
2.422327317E1,-1.478475494E0,1.685944061E0,-9.790540466E0
2.432377517E1,-1.785487061E0,1.062041473E0,-9.707163849E0
2.442427617E1,-1.463506622E0,8.457412720E-1,-9.940827942E0
2.452477917E1,-1.627415771E0,3.546125793E-1,-9.161997528E0
2.462528017E1,-1.493893433E0,-7.185058594E-2,-9.400900726E0
2.472578304E1,-1.094673615E0,-1.731898499E-1,-1.027717850E1
2.482628404E1,-1.295256500E0,-5.676196289E-1,-1.005548950E1
2.492678704E1,-1.456471252E0,-5.069956970E-1,-1.047611481E1
2.502728804E1,-1.454225922E0,-1.608105927E0,-9.444011078E0
2.512779104E1,-9.991722107E-1,-1.449136505E0,-9.792336731E0
2.522829304E1,-1.513951721E0,-1.539398804E0,-9.764794006E0
2.532879504E1,-1.642234955E0,-1.826352081E0,-9.924062805E0
2.542929704E1,-1.578766937E0,-1.702709198E0,-9.383836212E0
2.552980004E1,-1.538500671E0,-1.999541931E0,-9.336833954E0
2.563030104E1,-1.599723358E0,-2.803220673E0,-8.763376465E0
2.573080404E1,-1.717977448E0,-2.749482422E0,-8.374335480E0
2.583130604E1,-1.214125214E0,-2.374362488E0,-8.861721954E0
2.593180904E1,-1.776505737E0,-2.717149658E0,-9.145382080E0
2.603231004E1,-1.810634766E0,-2.759062500E0,-9.126221924E0
2.613281304E1,-1.965861969E0,-1.138532410E0,-9.637259216E0
2.623331504E1,-1.698817291E0,-6.011499023E-1,-9.732161865E0
2.633381804E1,-2.070045319E0,-1.197509766E-3,-9.930649109E0
2.643432004E1,-2.355651398E0,3.466790771E-1,-9.873168640E0
2.653482304E1,-1.317410431E0,5.391787720E-1,-9.856553192E0
2.663532504E1,-1.458866272E0,6.993457031E-1,-9.215436401E0
2.673582746E1,-1.946252747E0,1.643133087E0,-9.241332550E0
2.683632846E1,-1.782343597E0,2.920426941E0,-9.588610382E0
2.693683246E1,-1.527124329E0,2.965932312E0,-9.415420532E0
2.703733346E1,-1.984273682E0,3.641627197E0,-9.125772858E0
2.713783746E1,-1.073717194E0,4.039499817E0,-8.420589294E0
2.723833846E1,-1.923500061E0,4.924758911E0,-8.134085083E0
2.733884246E1,-1.280587006E0,5.119204559E0,-8.321195984E0
2.743934446E1,-1.570234680E0,5.560636597E0,-8.120912476E0
2.753984746E1,-1.597028961E0,6.298302612E0,-7.477849731E0
2.764034946E1,-1.191222839E0,6.910679169E0,-7.236551514E0
2.774085254E1,-5.120851135E-1,7.226821747E0,-7.549101563E0
2.784135454E1,-8.149053955E-1,7.402406616E0,-6.930737457E0
2.794185754E1,-4.685256958E-1,8.132737885E0,-6.094576263E0
2.804235954E1,-1.041833496E0,8.183781738E0,-5.858217773E0
2.814286354E1,-6.517446899E-1,8.421637115E0,-5.761818237E0
2.824336554E1,-5.421725464E-1,8.539891205E0,-5.170697479E0
2.834386854E1,-6.433621216E-1,8.578211517E0,-4.712649994E0
2.844437054E1,-1.839674377E-1,8.946296082E0,-4.634213104E0
2.854487354E1,-3.911366272E-1,8.716823273E0,-4.534071350E0
2.864537621E1,-4.053570557E-1,9.037905579E0,-4.177363129E0
2.874588021E1,-2.192939758E-1,9.227860565E0,-3.576362915E0
2.884638221E1,-3.781137085E-1,9.272018738E0,-3.641028442E0
2.894688521E1,-3.956272888E-1,9.166787567E0,-3.404071198E0
2.904738821E1,-1.914518738E-1,9.481882324E0,-2.860401764E0
2.914789121E1,1.817221069E-1,9.758656769E0,-2.520009613E0
2.924839321E1,-1.950444031E-1,9.252259827E0,-2.728226624E0
2.934889721E1,-6.987469482E-1,9.894873505E0,-2.465522919E0
2.944939921E1,-2.327659607E-1,9.568701782E0,-2.250120850E0
2.954990221E1,-7.735913086E-1,9.941127319E0,-1.251547394E0
2.965040454E1,-2.067201233E-1,9.489516449E0,-8.168513489E-1
2.975090854E1,-2.965333557E-1,9.677076416E0,-5.372328186E-1
2.985141054E1,-7.996371460E-1,9.958940277E0,-3.629951477E-1
2.995191454E1,-4.288581848E-1,9.762848053E0,-6.562353516E-1
3.005241654E1,-1.875599670E-1,9.943971405E0,-5.369334412E-1
3.015292054E1,-4.974156189E-1,9.857900391E0,-8.342152405E-1
3.025342254E1,-4.505630493E-1,9.751172333E0,-6.870712280E-1
3.035392654E1,-5.569917297E-1,9.813442841E0,-6.243516541E-1
3.045442854E1,-2.225871277E-1,9.744286652E0,-7.220983887E-1
3.055493154E1,-2.891986084E-1,9.848919067E0,-6.213578796E-1
3.065543221E1,-2.842588806E-1,9.722432098E0,-8.041278076E-1
3.075593621E1,-5.780978394E-1,9.827812958E0,-5.786965942E-1
3.085643821E1,-4.420307922E-1,9.769134979E0,-8.273295593E-1
3.095694221E1,-5.107379150E-1,9.701924744E0,-8.080197144E-1
