"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.370525638E0,2.649549954E-2,-5.344913527E-2,-4.581354442E-4
8.468173815E0,-5.421269219E-3,-6.665870547E-2,8.322793990E-3
8.565821940E0,-1.000262424E-2,-5.047125369E-2,7.941014133E-3
8.663470065E0,-1.336228382E-2,-4.856235534E-2,8.628217503E-3
8.761118242E0,-5.650337320E-3,-4.657710344E-2,5.039489828E-3
8.858766367E0,-2.519745007E-2,-7.108735293E-2,1.221694518E-2
8.956414492E0,-7.330167107E-3,-1.504211407E-2,-9.544488043E-3
9.054062669E0,2.794626169E-2,-4.199574701E-3,-4.627167806E-2
9.151710794E0,6.581879407E-2,1.130067464E-2,-1.041494608E-1
9.249358971E0,-4.902049154E-2,3.588727675E-3,-6.589514762E-2
9.347007096E0,-3.894151375E-2,1.182752997E-1,-3.764346242E-2
9.444655273E0,-4.428642802E-3,2.803788781E-1,-1.756185852E-2
9.542303398E0,4.619532451E-2,-1.801999472E-2,-1.527118124E-2
9.639951575E0,4.527905211E-2,-2.840439789E-2,1.565296017E-2
9.737599700E0,4.596625641E-2,-1.214058921E-1,1.084253844E-2
9.835247877E0,1.351499557E-2,8.460234851E-2,6.566607859E-3
9.932896002E0,1.024696305E-1,7.994463295E-2,1.221694518E-3
1.003054418E1,5.383091420E-2,1.065164879E-1,-2.672456671E-3
1.012819230E1,5.650337320E-3,1.702736691E-2,-8.170082234E-3
1.022584048E1,2.206685767E-2,-7.177454978E-2,-3.756710514E-2
1.032348861E1,-4.337015375E-2,-5.833591148E-2,9.162708884E-4
1.042113678E1,-9.483403713E-2,-6.413896102E-3,6.872031838E-3
1.051878491E1,8.796200156E-2,-1.123195365E-1,-2.496838197E-2
1.061643309E1,7.971556485E-2,-2.174616307E-1,-4.222481698E-2
1.071408121E1,-4.344651103E-2,-2.649549954E-2,-3.031329438E-2
1.081172939E1,-9.903360903E-2,-1.646996886E-1,-5.039490014E-2
1.090937751E1,-3.451287001E-2,-1.659977436E-1,-3.970507160E-2
1.100702569E1,5.230379477E-2,-2.565558441E-2,-1.847812906E-2
1.110467387E1,4.749337584E-2,-1.119377613E-1,-4.527905211E-2
1.120232199E1,5.803048983E-2,4.543176666E-2,-3.855973482E-2
1.129997017E1,-1.557660475E-2,3.428380191E-2,-3.794888780E-2
1.139761835E1,-1.062110662E-1,2.458660305E-2,-3.848337755E-2
1.149526647E1,-6.459710002E-2,1.895917207E-1,7.085828483E-2
1.159291465E1,4.482091591E-2,9.101624042E-2,6.085565686E-2
1.169056282E1,-1.097997949E-1,-1.375169903E-1,-6.261184346E-3
1.178821100E1,-1.130831018E-1,-1.946312040E-1,-4.405735806E-2
1.188585918E1,-4.856235534E-2,-8.681666851E-2,-1.382041909E-2
1.198350736E1,-9.498675168E-2,-6.398624927E-2,1.908897609E-2
1.208115553E1,-1.008661538E-1,-3.191677034E-1,-3.497100621E-2
1.217880366E1,-2.275406010E-2,3.084778599E-2,-2.962609194E-2
1.227645184E1,6.077930331E-2,1.905079931E-1,1.359135192E-2
1.237410001E1,1.226275861E-1,1.461452097E-1,3.970507160E-2
1.247174819E1,1.295759678E-1,5.856497958E-2,3.512371797E-3
1.256939642E1,8.055548370E-2,-1.259872504E-2,8.017370477E-3
1.266704460E1,-3.329117596E-2,-1.000262424E-2,3.100049868E-2
1.276469277E1,-6.192464009E-2,-3.100049868E-2,6.474980712E-2
1.286234095E1,-8.704573847E-3,2.818296552E-1,9.857547283E-2
1.295998913E1,2.481566928E-2,7.734853774E-2,2.687728032E-2
1.305763730E1,-2.107422985E-2,1.908897655E-3,2.076880634E-2
1.315528548E1,-8.567132801E-2,9.468132630E-3,3.535278514E-2
1.325293366E1,-6.917845458E-2,7.765395939E-2,2.389939874E-2
1.335058184E1,-2.855710872E-2,4.535540938E-2,-5.344913807E-4
1.344823006E1,2.214321308E-2,-5.444176123E-2,1.527118147E-4
1.354587824E1,-5.650337320E-3,-2.909160033E-2,-1.068982668E-2
1.364352642E1,1.794363745E-2,1.763821393E-2,4.428642802E-3
1.374117465E1,1.389677543E-2,-3.374931216E-2,3.657447919E-2
1.383882283E1,2.985516004E-2,-6.390989572E-2,1.756185852E-2
1.393647100E1,1.247655526E-1,3.978142887E-2,8.849649876E-2
1.403411923E1,1.229330078E-1,3.733803704E-2,1.091889441E-1
1.413176741E1,1.458397787E-2,-6.788039953E-2,-2.214321401E-3
1.422941564E1,-7.635590737E-5,-1.679830020E-3,1.007897966E-2
1.432706382E1,2.092151903E-2,5.688514933E-2,3.016058356E-2
1.442471204E1,-1.527118147E-3,3.779617324E-2,9.849912487E-3
1.452236027E1,1.300341040E-1,7.956285775E-2,-2.160872146E-2
1.462000845E1,7.391251624E-2,5.207473040E-2,-8.857285604E-3
1.471765668E1,1.840177365E-2,1.603474026E-3,6.795675959E-3
1.481530491E1,4.321744293E-2,-3.894151188E-3,3.046600707E-2
1.491295314E1,-1.206423342E-2,1.366770733E-2,1.221694518E-2
1.501060137E1,-5.596888065E-2,1.023169160E-1,-3.184041381E-2
1.510824960E1,-9.926267900E-3,1.007898003E-1,-5.963396281E-2
1.520589783E1,-1.916533336E-2,1.030041203E-1,6.795675959E-3
1.530354605E1,-6.566607859E-3,1.000262424E-2,7.635590620E-3
1.540119428E1,2.657185495E-2,-1.450762302E-1,-3.153498843E-2
1.549884251E1,-3.817795310E-3,-1.007897966E-2,3.436015919E-3
1.559649074E1,-1.152974181E-2,-2.236464471E-1,-8.124268800E-2
1.569413902E1,9.086353332E-2,-2.028776407E-1,-9.941539168E-2
1.579178725E1,6.062658876E-2,-2.392230630E-1,-3.290939704E-2
1.588943548E1,-3.894151375E-2,-3.733803704E-2,6.604786217E-2
1.598708376E1,-8.681666851E-2,2.130329795E-2,2.733541466E-2
1.608473199E1,-4.688252881E-2,1.466033421E-2,-7.406522986E-3
1.618238027E1,3.206948051E-3,-9.208522737E-2,-7.139277458E-2
1.628002850E1,2.206685767E-2,-9.323056042E-2,-7.124006003E-2
1.637767678E1,2.932066843E-2,-3.145863488E-2,1.374406368E-2
1.647532501E1,-1.572931744E-2,-1.161373332E-1,3.764346242E-2
1.657297329E1,-9.643751383E-2,-7.788302749E-2,5.375456065E-2
1.667062158E1,-4.703523964E-2,4.734066315E-3,-1.267508045E-2
1.676826986E1,-3.077143058E-2,5.734328553E-2,-1.901262067E-2
1.686591809E1,2.519744914E-3,8.475505561E-2,2.160872146E-2
1.696356637E1,9.391776286E-3,8.933641016E-3,1.023169141E-2
1.706121465E1,5.161659420E-2,-4.169032723E-2,-0.000000000E0
1.715886293E1,6.077930331E-2,-5.803048983E-2,1.725643501E-2
1.725651121E1,1.305686031E-2,4.199574701E-3,4.443913698E-2
