"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.678620140E1,-5.115845706E-3,1.527118147E-3,-3.970507067E-3
3.688385004E1,3.726168349E-2,4.504998680E-3,-1.023169141E-2
3.698149874E1,1.519482583E-2,4.359922186E-2,-5.642701685E-2
3.707914739E1,1.679830020E-3,1.275143679E-2,-4.772244394E-2
3.717679603E1,4.291202128E-2,1.214058883E-2,-2.870982140E-2
3.727444468E1,3.909422457E-2,-9.162708884E-4,-3.084778599E-2
3.737209332E1,4.008685052E-2,1.343864016E-2,-2.496838197E-2
3.746974197E1,1.832541823E-2,-1.183516532E-2,3.474193811E-2
3.756739067E1,7.559234742E-3,-6.261184346E-3,1.527118124E-2
3.766503931E1,1.435491070E-2,-1.962346770E-2,-6.872031372E-4
3.776268796E1,1.794363745E-2,-2.939702384E-2,-3.176405653E-2
3.786033666E1,1.786728203E-2,-1.916533336E-2,-1.152974181E-2
3.795798530E1,1.137703005E-2,-7.635590737E-5,1.130067464E-2
3.805563395E1,-6.039752439E-2,1.049130186E-1,-6.184828468E-3
