"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.834354336E0,1.250249892E-1,9.819247246E0,2.823530734E-1
8.932002513E0,3.149552941E-1,9.797711372E0,3.882354796E-1
9.029650638E0,1.441675574E-1,9.873384476E0,3.649054468E-1
9.127298763E0,2.524427772E-1,9.976574898E0,6.939185411E-2
9.224946940E0,-9.062815458E-2,9.899705887E0,1.806581169E-1
9.322595065E0,-9.571290761E-2,9.647262573E0,1.103689447E-1
9.420243242E0,-1.636092514E-1,9.729815483E0,1.734796353E-2
9.517891367E0,-3.942175210E-1,9.699306488E0,-1.286142133E-2
9.615539544E0,-5.204389244E-2,9.780961990E0,-2.542374097E-2
9.713187669E0,-1.375873089E-1,9.835099220E0,3.320041299E-2
9.810835846E0,-7.507480681E-2,9.807581902E0,1.648056656E-1
9.908483971E0,-1.052841991E-1,9.686445236E0,1.259222925E-1
1.000613215E1,-2.045863420E-1,9.861420631E0,-2.243271284E-2
1.010378027E1,-2.545365095E-1,9.925727844E0,-2.246262282E-1
1.020142845E1,-3.409772217E-1,9.743274689E0,-1.426720470E-1
1.029907658E1,-6.909275055E-2,9.843474388E0,2.063809521E-2
1.039672475E1,-1.160518974E-1,9.798309326E0,-1.914258115E-2
1.049437288E1,-3.038884699E-1,9.712766647E0,-1.872383654E-1
1.059202105E1,-2.593221664E-1,9.890433311E0,-6.879365072E-3
1.068966918E1,-4.965107143E-2,9.922437668E0,8.584251255E-2
1.078731736E1,-3.469592929E-1,9.788140297E0,-2.353939265E-1
1.088496548E1,-1.728814393E-1,9.760622978E0,-1.555334777E-1
1.098261366E1,-4.851447940E-1,9.669695854E0,1.944168471E-2
1.108026184E1,-5.844469070E-1,9.977172852E0,6.191428751E-2
1.117790996E1,-2.910270393E-1,9.719944954E0,1.794617027E-1
1.127555814E1,-4.393820465E-1,9.778269768E0,9.002995491E-2
1.137320632E1,-6.233302951E-1,9.786345482E0,-6.281159073E-2
1.147085444E1,-2.611167729E-1,9.751350403E0,9.332008660E-2
1.156850262E1,-8.368897438E-1,9.875477791E0,4.426721856E-2
1.166615079E1,-6.939185858E-1,9.866504669E0,1.061815023E-1
1.176379897E1,-4.683950245E-1,9.771988869E0,1.133599728E-1
1.186144715E1,-3.161516786E-1,9.669396400E0,3.017947674E-1
1.195909533E1,-7.100701332E-1,9.938887596E0,3.203391433E-1
1.205674345E1,-6.879364848E-1,9.787542343E0,5.802595019E-1
1.215439163E1,4.576273263E-2,9.688538551E0,6.583253145E-1
1.225203980E1,-3.023929596E-1,9.627223015E0,4.767699242E-1
1.234968798E1,-5.730810165E-1,9.790832520E0,2.967100143E-1
