"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.546497583E0,-2.985534072E-2,-2.043865435E-2,-1.863645390E-3
8.645756667E0,1.205004379E-2,2.496964112E-2,-1.278486475E-2
8.745015667E0,5.932571739E-2,-1.529370155E-2,5.711473525E-3
8.844274667E0,9.557104856E-2,9.785589576E-2,-2.789283916E-2
8.943534667E0,2.162904292E-2,-1.082836166E-1,-2.777299471E-2
9.042793667E0,7.713470608E-2,3.376667500E-1,-5.997098610E-2
9.142052667E0,1.274780631E-1,3.011546731E-1,-7.681859285E-2
9.241311667E0,1.344995499E-1,5.139071345E-1,-1.036498472E-1
9.340571667E0,1.563324630E-1,-1.103553399E-1,2.725114301E-2
9.439830667E0,2.052142471E-1,1.541396510E-2,6.033601239E-3
9.539089667E0,2.319170684E-1,1.394350529E-1,-2.861334011E-2
9.638351792E0,3.979055285E-1,1.432599872E-1,-1.406201161E-2
9.737611792E0,4.025042653E-1,1.818343699E-1,-4.474823922E-2
9.836870792E0,4.553716481E-1,2.267956734E-1,-8.560296148E-2
9.936129792E0,1.962171644E-1,3.319123294E-3,-3.193075582E-2
1.003538879E1,3.483214974E-2,4.818850197E-3,1.126452908E-2
1.013464779E1,1.903075576E-1,-1.157262772E-1,7.444592565E-2
1.023390779E1,3.773481548E-1,-3.574259952E-2,4.501646385E-2
1.033316679E1,1.618309617E-1,-3.245744482E-2,5.443622544E-2
1.043242579E1,1.190569997E-1,-1.152952388E-1,1.312014367E-2
1.053168479E1,2.230519652E-1,-2.823320962E-2,-5.065703765E-2
1.063094067E1,1.874487847E-1,-2.883040905E-1,-2.096189186E-2
1.073020067E1,1.637972742E-1,3.120664358E-1,-9.182520211E-2
1.082945967E1,1.042975038E-1,9.865444899E-2,-4.942505434E-2
1.092871867E1,8.076892793E-2,-2.764331102E-1,7.573281974E-2
1.102797767E1,1.939177811E-1,5.927772820E-2,-4.183691740E-2
1.112723667E1,2.789647281E-1,-1.589835286E-1,-3.566778265E-3
1.122649567E1,2.886745036E-1,-3.765199333E-2,1.469700783E-1
1.132575467E1,3.591091633E-1,2.013473213E-1,-1.734315231E-2
1.142501467E1,3.597619236E-1,-6.496256590E-2,-3.377956897E-2
1.152427367E1,3.426943719E-1,-1.361456513E-1,6.863208860E-2
1.162353267E1,2.627134025E-1,-1.713189036E-1,4.481683671E-2
1.172279196E1,5.101526380E-1,-7.221220434E-2,2.696266770E-2
1.182205096E1,6.051464677E-1,-4.199540913E-1,2.874985039E-1
1.192130996E1,5.197289586E-1,-2.030689567E-1,1.369201392E-1
1.202056896E1,4.489678144E-1,1.301270574E-1,-1.528246701E-1
1.211982796E1,3.368549347E-1,1.481366009E-1,-2.375824600E-1
1.221908796E1,1.939355433E-1,1.365398318E-1,-1.395682395E-1
1.231834696E1,3.288089931E-1,-1.530338526E-1,1.579642296E-3
1.241760596E1,7.514583468E-1,-1.637364738E-2,9.006066248E-3
1.251686496E1,7.358526587E-1,-2.530645430E-1,-2.844374999E-2
1.261612396E1,3.354716599E-1,5.376479775E-2,-2.683149874E-1
1.271538233E1,5.177583545E-2,3.214960992E-1,-1.813709736E-1
1.281464133E1,1.893536374E-2,-9.521473944E-2,8.649145067E-2
1.291390033E1,2.432817072E-1,1.348945946E-1,-1.020205766E-1
1.301315933E1,3.514040709E-1,-1.572795399E-2,-1.212894097E-1
1.311241833E1,3.723999262E-1,-5.755856633E-3,-3.762384877E-2
1.321167833E1,2.633068860E-1,3.692778200E-2,1.058861800E-2
1.331093733E1,1.709770560E-1,-4.760306701E-2,4.451229051E-2
1.341019633E1,1.353226751E-1,8.376177400E-2,-4.082390293E-2
1.350945533E1,2.970355749E-1,1.070822626E-1,-2.996332571E-2
1.360871433E1,2.492167801E-1,-2.083664574E-2,9.497768432E-2
1.370797429E1,2.583658099E-1,-3.191292286E-2,-1.694452204E-2
1.380723329E1,3.542939126E-1,4.019848108E-1,-2.725042999E-1
1.390649229E1,2.980283201E-1,-3.032650948E-1,8.221592754E-2
1.400575129E1,2.664397657E-1,-1.537594944E-1,6.730847061E-2
